Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Nov 26, 2018",174.62,174.24,174.95,170.26,45.00M
"Nov 23, 2018",172.29,174.94,176.59,172.1,23.62M
"Nov 21, 2018",176.78,179.73,180.27,176.55,31.12M
"Nov 20, 2018",176.98,178.37,181.47,175.51,67.83M
"Nov 19, 2018",185.86,190.0,190.7,184.99,41.92M
"Nov 16, 2018",193.53,190.5,194.97,189.46,36.93M
"Nov 15, 2018",191.41,188.39,191.97,186.9,46.48M
"Nov 14, 2018",186.8,193.9,194.48,185.93,60.80M
"Nov 13, 2018",192.23,191.63,197.18,191.45,46.88M
"Nov 12, 2018",194.17,199.0,199.85,193.79,51.14M
"Nov 09, 2018",204.47,205.55,206.01,202.25,34.37M
"Nov 08, 2018",208.49,209.98,210.12,206.75,25.36M
"Nov 07, 2018",209.95,205.97,210.06,204.13,33.42M
"Nov 06, 2018",203.77,201.92,204.72,201.69,31.88M
"Nov 05, 2018",201.59,204.3,204.39,198.17,66.16M
"Nov 02, 2018",207.48,209.55,213.65,205.43,91.33M
"Nov 01, 2018",222.22,219.05,222.36,216.81,58.32M
"Oct 31, 2018",218.86,216.88,220.45,216.62,38.36M
"Oct 30, 2018",213.3,211.15,215.18,209.27,36.66M
"Oct 29, 2018",212.24,219.19,219.69,206.09,45.94M
"Oct 26, 2018",216.3,215.9,220.19,212.67,47.26M
"Oct 25, 2018",219.8,217.71,221.38,216.75,29.86M
"Oct 24, 2018",215.09,222.6,224.23,214.54,40.93M
"Oct 23, 2018",222.73,215.83,223.25,214.7,38.77M
"Oct 22, 2018",220.65,219.79,223.36,218.94,28.79M
"Oct 19, 2018",219.31,218.06,221.26,217.43,33.08M
"Oct 18, 2018",216.02,217.86,219.74,213.0,32.58M
"Oct 17, 2018",221.19,222.3,222.64,219.34,22.89M
"Oct 16, 2018",222.15,218.93,222.99,216.76,29.18M
"Oct 15, 2018",217.36,221.16,221.83,217.27,30.79M
"Oct 12, 2018",222.11,220.42,222.88,216.84,40.34M
"Oct 11, 2018",214.45,214.52,219.5,212.32,53.12M
"Oct 10, 2018",216.36,225.46,226.35,216.05,41.99M
"Oct 09, 2018",226.87,223.64,227.27,222.25,26.89M
"Oct 08, 2018",223.77,222.21,224.8,220.2,29.66M
"Oct 05, 2018",224.29,227.96,228.41,220.58,33.58M
"Oct 04, 2018",227.99,230.78,232.35,226.73,32.04M
"Oct 03, 2018",232.07,230.05,233.47,229.78,28.65M
"Oct 02, 2018",229.28,227.25,230.0,226.63,24.79M
"Oct 01, 2018",227.26,227.95,229.42,226.35,23.60M
"Sep 28, 2018",225.74,224.79,225.84,224.02,22.93M
"Sep 27, 2018",224.95,223.82,226.44,223.54,30.18M
"Sep 26, 2018",220.42,221.0,223.75,219.76,23.98M
"Sep 25, 2018",222.19,219.75,222.82,219.7,24.55M
"Sep 24, 2018",220.79,216.82,221.26,216.63,27.69M
"Sep 21, 2018",217.66,220.78,221.36,217.29,96.25M
"Sep 20, 2018",220.03,220.24,222.28,219.15,26.61M
"Sep 19, 2018",218.37,218.5,219.62,215.3,27.12M
"Sep 18, 2018",218.24,217.79,221.85,217.12,31.57M
"Sep 17, 2018",217.88,222.15,222.95,217.27,37.20M
